"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 3.3.135_BASE";"APROBADO";"0.0";"MNQ";"M240";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.28";"8173.38";"";"8";"31.96";"11.63";"3.87";"16.35";"0.58";"0.0";"264.0";"7.0";"30.96";"34.06";"1205.34";"264.0";"2.0";"2.0";"2.0";"0.0"
"Strategy 3.3.135_EXIT90";"APROBADO";"0.0";"MNQ";"M240";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.28";"7948.38";"";"8";"31.11";"11.37";"3.76";"15.9";"0.58";"0.0";"264.0";"7.0";"30.11";"33.12";"1173.2";"264.0";"2.0";"2.0";"2.0";"0.0"
"Strategy 3.3.135_EXIT110";"APROBADO";"0.0";"MNQ";"M240";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.28";"8398.38";"";"8";"32.81";"11.89";"3.98";"16.8";"0.58";"0.0";"264.0";"7.0";"31.81";"35.0";"1237.48";"264.0";"2.0";"2.0";"2.0";"0.0"
