ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
4,1,21,1777968720000,1777987800000,5.0,848.5,-10.0,true,283.47,862.5,50848.5,false,false,false,27811.75,27898.0,true,false,4.0,2
11,1,21,1777996800000,1778011200000,5.0,44.23,-10.0,true,358.18,575.21,50892.727,false,false,false,28007.928,28013.75,true,false,4.0,2
16,1,21,1778057160000,1778068800000,5.0,1678.8,-10.0,true,89.23,2636.42,52571.523,false,false,false,28250.75,28420.03,true,false,4.0,2
23,1,21,1778083200000,1778097600000,5.0,1477.3,-10.0,true,494.66998,1632.97,54048.824,false,false,false,28442.12,28591.25,true,false,4.0,2
28,1,21,1778127480000,1778140980000,5.0,848.5,-10.0,true,133.03,968.27,54897.324,false,false,false,28591.5,28677.75,true,false,4.0,2
35,1,21,1778161200000,1778169660000,5.0,-264.0,-10.0,true,700.0,1633.13,54633.324,false,false,false,28662.25,28637.25,true,false,4.0,2
42,1,21,1778213340000,1778227920000,5.0,848.5,-10.0,true,211.62001,862.5,55481.824,false,false,false,28666.25,28752.5,true,false,4.0,2
49,1,21,1778241600000,1778256000000,5.0,2916.55,-10.0,true,347.5,3192.02,58398.375,false,false,false,28785.076,29078.13,true,false,4.0,2
