<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ETHUSDT,2026.07.13,10:40:00,1782.100000,1783.440000,1777.660000,1778.650000,15276.3850
ETHUSDT,2026.07.13,10:45:00,1778.640000,1780.160000,1776.010000,1778.560000,16235.1670
ETHUSDT,2026.07.13,10:50:00,1778.560000,1779.510000,1777.170000,1779.150000,5441.2630
ETHUSDT,2026.07.13,10:55:00,1779.150000,1779.890000,1778.290000,1778.750000,6439.5470
ETHUSDT,2026.07.13,11:00:00,1778.750000,1782.180000,1778.750000,1780.260000,10467.8610
ETHUSDT,2026.07.13,11:05:00,1780.260000,1783.920000,1780.000000,1783.310000,12248.9210
ETHUSDT,2026.07.13,11:10:00,1783.310000,1783.900000,1781.390000,1781.780000,7714.5300
ETHUSDT,2026.07.13,11:15:00,1781.790000,1782.290000,1779.110000,1779.110000,5942.5860
ETHUSDT,2026.07.13,11:20:00,1779.120000,1782.170000,1778.880000,1780.470000,5218.0740
ETHUSDT,2026.07.13,11:25:00,1780.470000,1781.930000,1780.470000,1781.320000,3117.4730
ETHUSDT,2026.07.13,11:30:00,1781.310000,1782.080000,1780.000000,1782.070000,3216.2030
ETHUSDT,2026.07.13,11:35:00,1782.080000,1782.760000,1780.460000,1781.930000,2588.7940
ETHUSDT,2026.07.13,11:40:00,1781.930000,1782.270000,1781.310000,1781.320000,3579.5110
ETHUSDT,2026.07.13,11:45:00,1781.320000,1782.820000,1781.310000,1782.550000,3952.7040
ETHUSDT,2026.07.13,11:50:00,1782.550000,1782.800000,1780.710000,1780.870000,2977.9020
ETHUSDT,2026.07.13,11:55:00,1780.870000,1781.790000,1779.660000,1779.900000,11348.1660
ETHUSDT,2026.07.13,12:00:00,1779.900000,1782.770000,1778.610000,1779.140000,12905.1560
ETHUSDT,2026.07.13,12:05:00,1779.130000,1782.000000,1778.000000,1779.310000,31342.4240
ETHUSDT,2026.07.13,12:10:00,1779.310000,1780.820000,1778.000000,1779.580000,9729.6390
ETHUSDT,2026.07.13,12:15:00,1779.580000,1780.960000,1779.580000,1780.610000,3524.3970
ETHUSDT,2026.07.13,12:20:00,1780.600000,1780.620000,1775.010000,1779.290000,31631.8870
ETHUSDT,2026.07.13,12:25:00,1779.300000,1781.000000,1775.910000,1776.280000,11350.0240
ETHUSDT,2026.07.13,12:30:00,1776.280000,1777.610000,1772.950000,1774.290000,27301.7630
ETHUSDT,2026.07.13,12:35:00,1774.300000,1774.910000,1766.060000,1769.320000,112285.0430
ETHUSDT,2026.07.13,12:40:00,1769.310000,1770.780000,1767.870000,1769.830000,21414.6470
ETHUSDT,2026.07.13,12:45:00,1769.830000,1771.730000,1769.320000,1770.890000,15780.0130
ETHUSDT,2026.07.13,12:50:00,1770.880000,1771.450000,1769.070000,1769.990000,8565.1270
ETHUSDT,2026.07.13,12:55:00,1770.000000,1771.770000,1769.310000,1771.350000,7066.0840
ETHUSDT,2026.07.13,13:00:00,1771.340000,1771.760000,1769.550000,1770.860000,10304.4380
ETHUSDT,2026.07.13,13:05:00,1770.870000,1772.760000,1770.050000,1771.140000,10710.2770
ETHUSDT,2026.07.13,13:10:00,1771.140000,1771.300000,1767.550000,1767.690000,13117.5290
ETHUSDT,2026.07.13,13:15:00,1767.690000,1768.440000,1765.400000,1767.350000,24426.6740
ETHUSDT,2026.07.13,13:20:00,1767.340000,1768.980000,1763.740000,1768.890000,28278.3730
ETHUSDT,2026.07.13,13:25:00,1768.900000,1770.210000,1767.620000,1768.680000,14555.6410
ETHUSDT,2026.07.13,13:30:00,1768.680000,1774.950000,1768.400000,1773.460000,35015.6260
ETHUSDT,2026.07.13,13:35:00,1773.460000,1775.650000,1771.030000,1771.030000,16079.9490
ETHUSDT,2026.07.13,13:40:00,1771.030000,1771.770000,1761.860000,1767.140000,55748.7580
ETHUSDT,2026.07.13,13:45:00,1767.150000,1768.990000,1764.000000,1766.960000,26883.0230
ETHUSDT,2026.07.13,13:50:00,1766.960000,1768.430000,1763.170000,1767.820000,31760.9190
ETHUSDT,2026.07.13,13:55:00,1767.810000,1771.500000,1766.620000,1770.610000,18877.9270
ETHUSDT,2026.07.13,14:00:00,1770.610000,1773.900000,1768.590000,1768.600000,25720.9990
ETHUSDT,2026.07.13,14:05:00,1768.600000,1769.530000,1767.030000,1768.170000,12410.7620
ETHUSDT,2026.07.13,14:10:00,1768.170000,1773.320000,1767.290000,1773.200000,18693.0110
ETHUSDT,2026.07.13,14:15:00,1773.200000,1773.580000,1761.630000,1771.750000,57444.5240
ETHUSDT,2026.07.13,14:20:00,1771.740000,1773.310000,1763.280000,1769.420000,59507.6380
ETHUSDT,2026.07.13,14:25:00,1769.410000,1775.340000,1769.220000,1770.890000,21840.3840
ETHUSDT,2026.07.13,14:30:00,1770.880000,1774.380000,1770.600000,1772.120000,17186.0450
ETHUSDT,2026.07.13,14:35:00,1772.120000,1775.360000,1768.000000,1774.760000,32642.8740
ETHUSDT,2026.07.13,14:40:00,1774.750000,1778.040000,1773.400000,1775.760000,24847.5840
ETHUSDT,2026.07.13,14:45:00,1775.770000,1778.500000,1774.310000,1777.070000,17806.7390
ETHUSDT,2026.07.13,14:50:00,1777.080000,1777.700000,1773.740000,1774.960000,12966.5930
ETHUSDT,2026.07.13,14:55:00,1774.960000,1781.420000,1774.960000,1780.940000,32000.9960
ETHUSDT,2026.07.13,15:00:00,1780.940000,1781.980000,1778.000000,1778.180000,17936.3830
ETHUSDT,2026.07.13,15:05:00,1778.180000,1779.770000,1776.690000,1778.110000,10767.5010
ETHUSDT,2026.07.13,15:10:00,1778.120000,1779.000000,1776.710000,1777.340000,6289.3970
ETHUSDT,2026.07.13,15:15:00,1777.330000,1784.090000,1777.060000,1782.310000,16769.1130
ETHUSDT,2026.07.13,15:20:00,1782.320000,1785.970000,1780.050000,1785.050000,23434.2470
ETHUSDT,2026.07.13,15:25:00,1785.050000,1785.500000,1781.820000,1781.830000,7993.1210
ETHUSDT,2026.07.13,15:30:00,1781.830000,1782.230000,1778.750000,1778.860000,12870.5140
ETHUSDT,2026.07.13,15:35:00,1778.860000,1779.440000,1777.490000,1778.540000,10958.3520
ETHUSDT,2026.07.13,15:40:00,1778.540000,1778.840000,1773.990000,1777.310000,18250.3040
ETHUSDT,2026.07.13,15:45:00,1777.300000,1777.500000,1774.610000,1777.300000,12024.8160
ETHUSDT,2026.07.13,15:50:00,1777.300000,1777.950000,1775.430000,1776.170000,5930.5990
ETHUSDT,2026.07.13,15:55:00,1776.170000,1776.600000,1774.750000,1775.900000,5786.8950
ETHUSDT,2026.07.13,16:00:00,1775.900000,1780.200000,1775.000000,1778.190000,17488.3980
ETHUSDT,2026.07.13,16:05:00,1778.190000,1778.580000,1775.390000,1777.480000,7939.7770
ETHUSDT,2026.07.13,16:10:00,1777.480000,1778.580000,1777.050000,1777.510000,5785.4040
ETHUSDT,2026.07.13,16:15:00,1777.500000,1777.500000,1772.150000,1772.970000,21578.8100
ETHUSDT,2026.07.13,16:20:00,1772.960000,1773.200000,1771.080000,1771.560000,17543.1570
ETHUSDT,2026.07.13,16:25:00,1771.570000,1772.730000,1770.070000,1771.320000,10122.0350
ETHUSDT,2026.07.13,16:30:00,1771.310000,1771.390000,1768.420000,1768.860000,16395.5740
ETHUSDT,2026.07.13,16:35:00,1768.860000,1770.600000,1766.190000,1769.760000,25509.9770
ETHUSDT,2026.07.13,16:40:00,1769.760000,1773.990000,1769.660000,1773.420000,13489.7870
ETHUSDT,2026.07.13,16:45:00,1773.430000,1775.630000,1772.380000,1772.710000,13385.6440
ETHUSDT,2026.07.13,16:50:00,1772.710000,1772.710000,1769.210000,1770.520000,8953.0740
ETHUSDT,2026.07.13,16:55:00,1770.520000,1771.590000,1769.440000,1771.050000,4991.0480
ETHUSDT,2026.07.13,17:00:00,1771.050000,1775.000000,1770.970000,1771.260000,10176.4790
ETHUSDT,2026.07.13,17:05:00,1771.250000,1772.520000,1769.030000,1771.810000,6746.5590
ETHUSDT,2026.07.13,17:10:00,1771.820000,1775.370000,1771.810000,1773.710000,8847.8600
ETHUSDT,2026.07.13,17:15:00,1773.700000,1773.790000,1772.000000,1773.290000,5328.2330
ETHUSDT,2026.07.13,17:20:00,1773.290000,1774.260000,1769.540000,1770.230000,8103.4040
ETHUSDT,2026.07.13,17:25:00,1770.220000,1771.560000,1769.720000,1770.730000,4702.2060
ETHUSDT,2026.07.13,17:30:00,1770.730000,1771.910000,1769.320000,1770.660000,6682.6680
ETHUSDT,2026.07.13,17:35:00,1770.660000,1770.660000,1762.500000,1767.700000,47726.0860
ETHUSDT,2026.07.13,17:40:00,1767.700000,1767.700000,1765.000000,1766.900000,18331.3650
ETHUSDT,2026.07.13,17:45:00,1766.900000,1768.660000,1764.530000,1765.090000,9520.6940
ETHUSDT,2026.07.13,17:50:00,1765.080000,1765.510000,1755.350000,1758.770000,98116.5330
ETHUSDT,2026.07.13,17:55:00,1758.780000,1760.410000,1751.720000,1752.690000,80194.9320
ETHUSDT,2026.07.13,18:00:00,1752.700000,1758.000000,1752.440000,1756.280000,42436.6430
ETHUSDT,2026.07.13,18:05:00,1756.280000,1759.850000,1756.280000,1757.410000,18939.8420
ETHUSDT,2026.07.13,18:10:00,1757.400000,1757.400000,1751.200000,1756.020000,30353.9030
ETHUSDT,2026.07.13,18:15:00,1756.020000,1756.520000,1748.000000,1752.400000,38489.7520
ETHUSDT,2026.07.13,18:20:00,1752.400000,1758.570000,1750.560000,1758.420000,30008.8300
ETHUSDT,2026.07.13,18:25:00,1758.410000,1758.410000,1756.370000,1757.460000,9522.8460
ETHUSDT,2026.07.13,18:30:00,1757.450000,1759.250000,1756.000000,1757.080000,7477.1820
ETHUSDT,2026.07.13,18:35:00,1757.080000,1760.600000,1756.740000,1760.250000,9002.6330
ETHUSDT,2026.07.13,18:40:00,1760.260000,1761.710000,1759.360000,1760.630000,12907.6350
ETHUSDT,2026.07.13,18:45:00,1760.630000,1762.900000,1759.920000,1762.480000,7064.3360
ETHUSDT,2026.07.13,18:50:00,1762.480000,1766.690000,1762.070000,1763.670000,15667.8810
ETHUSDT,2026.07.13,18:55:00,1763.660000,1764.500000,1762.760000,1763.990000,5769.1030
ETHUSDT,2026.07.13,19:00:00,1764.000000,1765.650000,1763.540000,1765.090000,6479.7080
ETHUSDT,2026.07.13,19:05:00,1765.080000,1765.870000,1763.860000,1765.120000,3587.3390
ETHUSDT,2026.07.13,19:10:00,1765.120000,1766.130000,1764.500000,1765.570000,2920.2080
ETHUSDT,2026.07.13,19:15:00,1765.570000,1767.840000,1764.870000,1764.870000,7857.9120
ETHUSDT,2026.07.13,19:20:00,1764.870000,1765.990000,1763.580000,1765.920000,11352.8250
ETHUSDT,2026.07.13,19:25:00,1765.920000,1765.920000,1763.570000,1764.230000,6427.9880
ETHUSDT,2026.07.13,19:30:00,1764.230000,1770.980000,1764.230000,1770.790000,18164.9900
ETHUSDT,2026.07.13,19:35:00,1770.790000,1771.000000,1768.310000,1768.670000,11218.5970
ETHUSDT,2026.07.13,19:40:00,1768.670000,1771.230000,1768.400000,1771.230000,4925.2130
