DateTime,Open,High,Low,Close,Volume
2026.08.25 00:00:00,7653.334,7655.129,7647.584,7648.331,0.7430699971300783
2026.08.25 00:15:00,7648.189,7652.319,7644.313,7652.129,0.5762999977741856
2026.08.25 00:30:00,7651.999,7658.084,7651.319,7657.186,0.6252599975850899
2026.08.25 00:45:00,7657.063,7659.584,7655.325,7657.584,0.5278499979613116
2026.08.25 01:00:00,7657.819,7659.379,7656.313,7658.081,0.5732399977860041
2026.08.25 01:15:00,7658.322,7659.084,7654.563,7656.319,0.5079599980381317
2026.08.25 01:30:00,7656.078,7660.828,7655.828,7658.563,0.6313799975614529
2026.08.25 01:45:00,7658.704,7660.334,7657.069,7657.069,0.44981999826268293
2026.08.25 02:00:00,7657.313,7659.195,7652.066,7653.629,0.4009699984890176
2026.08.25 02:15:00,7653.445,7656.379,7652.129,7655.828,0.4049399984360207
2026.08.25 02:30:00,7655.692,7659.334,7654.825,7656.129,0.5375399979238864
2026.08.25 02:45:00,7656.189,7656.331,7650.629,7651.948,0.37637999854632653
2026.08.25 03:00:00,7652.072,7661.063,7651.813,7658.834,0.4855199981248006
2026.08.25 03:15:00,7658.692,7661.629,7658.692,7661.379,0.32741999873542227
2026.08.25 03:30:00,7661.189,7662.575,7659.629,7660.129,0.2840699989028508
2026.08.25 03:45:00,7660.186,7660.186,7657.328,7659.084,0.22949999911361374
2026.08.25 04:00:00,7658.825,7662.379,7658.566,7662.249,0.27794999892648775
2026.08.25 04:15:00,7662.316,7662.379,7661.063,7661.879,0.16982999934407417
2026.08.25 04:30:00,7661.683,7663.499,7660.945,7662.454,0.2534699990210356
2026.08.25 04:45:00,7662.322,7663.129,7659.313,7660.819,0.2871299988910323
2026.08.25 06:00:00,7663.831,7667.084,7663.819,7665.319,0.6046800118638203
2026.08.25 06:15:00,7665.629,7670.879,7664.313,7669.316,0.5040000099688768
2026.08.25 06:30:00,7669.249,7671.813,7667.563,7671.578,0.5134500101557933
2026.08.25 06:45:00,7671.683,7673.581,7669.313,7673.569,0.41895000828662887
2026.08.25 07:00:00,7673.695,7676.563,7671.319,7671.813,0.7717500152648427
2026.08.25 07:15:00,7672.084,7673.569,7666.319,7668.831,0.699750013940502
2026.08.25 07:30:00,7668.689,7670.451,7667.325,7669.813,0.6352500125649385
2026.08.25 07:45:00,7670.072,7670.129,7665.563,7666.629,0.5292000104673207
2026.08.25 10:00:00,7693.319,7693.984,7688.828,7691.584,0.7539000149117783
2026.08.25 10:15:00,7691.683,7691.825,7687.078,7687.566,0.402150007954333
2026.08.25 10:30:00,7687.689,7688.334,7684.081,7684.081,0.4588500090758316
2026.08.25 10:45:00,7683.954,7686.879,7683.828,7686.084,0.4336500085773878
2026.08.25 11:00:00,7685.834,7686.439,7677.066,7682.272,0.742500014603138
2026.08.25 11:15:00,7682.142,7683.654,7680.266,7682.813,0.5806500114849769
2026.08.25 11:30:00,7682.939,7686.629,7682.563,7685.629,0.5461500109522603
2026.08.25 11:45:00,7685.439,7690.451,7685.316,7688.813,0.675600013404619
2026.08.25 12:00:00,7688.578,7689.578,7685.313,7688.069,1.6056000318494625
