DateTime,Open,High,Low,Close,Volume
2026.08.25 00:00:00,7653.334,7662.575,7644.313,7659.084,7.681219970370876
2026.08.25 04:00:00,7658.825,7676.563,7658.566,7666.629,5.665410088695353
2026.08.25 08:00:00,7693.319,7693.984,7677.066,7688.813,4.593450090964325
2026.08.25 12:00:00,7688.578,7692.819,7648.542,7672.404,43.45320084266132
2026.08.25 16:00:00,7672.142,7679.864,7663.949,7676.152,21.792053332529463
2026.08.25 20:00:00,7676.414,7679.684,7666.669,7667.931,1.0961699986073654
2026.08.26 00:00:00,7667.542,7677.979,7656.913,7675.675,4.8865299812023295
2026.08.26 04:00:00,7675.804,7677.666,7666.536,7671.931,7.466750103922095
2026.08.26 08:00:00,7671.789,7680.169,7667.919,7673.684,8.879100175923668
2026.08.26 12:00:00,7673.931,7687.928,7662.913,7671.109,45.83626385762466
2026.08.26 16:00:00,7670.919,7690.982,7656.903,7677.593,24.017000376130454
2026.08.26 20:00:00,7677.346,7727.429,7675.851,7724.992,3.0360999942931812
