"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 3.3.135_BASE";"APROBADO";"0.6";"MNQ";"M240";"24261.77";"";"184";"1.62";"1.49";"0.37";"24.26";"0.73";"4.6";"4315.37";"0.69";"5.62";"3.43";"843.18";"357.58";"2.72";"2.45";"2.56";"0.22";"0.44";"11555.19";"";"38";"2.5";"4.84";"0.79";"23.11";"0.74";"0.0";"1540.87";"0.9";"7.5";"8.59";"1069.46";"384.75";"1.83";"1.8";"1.82";"0.0"
"Strategy 3.3.135_NATIVE2";"APROBADO";"0.6";"MNQ";"M240";"24377.27";"";"184";"1.63";"1.49";"0.37";"24.38";"0.73";"5.09";"4315.37";"0.69";"5.65";"3.45";"843.18";"356.52";"2.72";"2.43";"2.55";"0.22";"0.44";"11555.19";"";"38";"2.5";"4.84";"0.79";"23.11";"0.74";"0.0";"1540.87";"0.9";"7.5";"8.59";"1069.46";"384.75";"1.83";"1.8";"1.82";"0.0"
"Strategy 3.3.135_NATIVE1";"APROBADO";"0.56";"MNQ";"M240";"22378.25";"";"203";"1.59";"1.4";"0.29";"22.38";"0.73";"5.0";"5087.3";"0.99";"4.4";"2.68";"599.75";"374.48";"2.36";"2.17";"2.26";"0.07";"0.46";"13150.17";"";"38";"3.14";"5.66";"0.96";"26.3";"0.75";"0.0";"1540.87";"1.24";"8.53";"10.04";"919.14";"361.87";"1.86";"1.76";"1.82";"0.0"
