timestamp,modo,origen,destino,sha256_origen,estado
2026-08-29T18:16:38Z,exec,walkthrough.md,docs/walkthrough.md,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,informes,docs/informes,DIR:c79c3816a9e805e1e92bd4541bf38f8d99cd41b6c60a32b08f785b2dc9367b16,OK
2026-08-29T18:16:38Z,exec,canonical_strategy.py,services/strategy_core/canonical_strategy.py,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,canonical_runtime_adapter.py,services/strategy_core/canonical_runtime_adapter.py,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,canonical_instrument_aliases.json,configs/canonical_instrument_aliases.json,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,version_manifest.json,configs/version_manifest.json,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,version_control_manager.py,scripts/herramientas/version_control_manager.py,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,audit_frontend_playwright.js,scripts/auditorias/audit_frontend_playwright.js,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,audit_v540_playwright.js,scripts/auditorias/audit_v540_playwright.js,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,test_phase01_dataset_chain_of_custody.py,tests/phase_phase/test_phase01_dataset_chain_of_custody.py,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,test_phase02_canonical_strategy.py,tests/phase_phase/test_phase02_canonical_strategy.py,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,database.sqlite,data/db/database.sqlite,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,learning_store.sqlite,data/db/learning_store.sqlite,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,uvicorn.log,cuarentena/logs/uvicorn.log,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,backups,data/backups,DIR:d1db4ef14f6eac3b3ce3665d22f6697bb755912998ea9d07fe70f589a8653042,OK
2026-08-29T18:16:38Z,exec,bingx_ultra_strategy_lab.egg-info,cuarentena/build_artifacts/bingx_ultra_strategy_lab.egg-info,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,v540_audit_screenshots,evidencia/2026-08-29/v540_audit_screenshots,,OMITIDO_NO_EXISTE
2026-08-29T18:16:38Z,exec,scratch,cuarentena/scratch,DIR:2339a054f2d4b24d13e69619d79429c0afca02d3af1b390e742dd0e11a63b9ec,OK
2026-08-29T18:16:38Z,exec,.phase2,cuarentena/phase2,DIR:0a824017bbb163f67ae87ca86d650c12c234115051a0f234370d975b11e45f00,OK
2026-08-29T18:16:38Z,exec,docs/arquitectura-orquestacion-orquestador-antigravity.md,orchestracion/arquitectura-orquestacion-orquestador-antigravity.md,,OMITIDO_NO_EXISTE
