"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.13.111";"";"0.2";"AUDUSD_H1";"H1";"-5781.67";"";"763";"0.03";"-10.56";"-0.95";"-289.08";"-0.9";"94.11";"5837.46";"0.01";"-0.99";"0.0";"16.91";"7.94";"8.18";"4.12";"4.18";"0.78";"0.06";"-10.61";"";"2";"0.0";"0.0";"-1.0";"-1.06";"0.0";"49.44";"10.61";"0.0";"-1.0";"-1.0";"0.0";"5.3";"0.0";"2.0";"2.0";"0.0"
"Strategy 1.6.185";"";"0.2";"AUDUSD_H1";"H1";"-3913.78";"";"511";"0.06";"-8.63";"-0.91";"-195.69";"-0.92";"76.38";"3913.78";"0.03";"-1.0";"0.0";"16.84";"8.4";"32.73";"17.23";"17.68";"20.57";"0.06";"-10.46";"";"2";"0.0";"-43.43";"-1.0";"-1.05";"-0.39";"0.0";"10.46";"0.0";"-1.0";"-1.0";"0.0";"5.23";"0.0";"4.5";"4.5";"0.0"
"Strategy 1.21.109";"";"0.2";"AUDUSD_H1";"H1";"-1403.8";"";"179";"0.13";"-5.55";"-0.76";"-70.19";"-0.97";"77.42";"1420.88";"0.15";"-0.99";"0.0";"8.5";"10.37";"6.83";"9.14";"8.83";"0.0";"0.06";"-3.53";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.53";"0.0";"-1.0";"-1.0";"0.0";"3.53";"0.0";"4.0";"4.0";"0.0"
"Strategy 1.13.110";"";"0.2";"AUDUSD_H1";"H1";"-1747.08";"";"233";"0.21";"-4.83";"-0.69";"-87.35";"-0.97";"78.29";"1783.75";"0.14";"-0.98";"0.0";"15.88";"10.82";"33.83";"21.62";"23.14";"12.93";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.15.195";"";"0.2";"AUDUSD_H1";"H1";"-4809.87";"";"649";"0.02";"-12.78";"-0.96";"-240.49";"-0.93";"96.91";"4809.87";"0.02";"-1.0";"0.0";"7.01";"7.72";"6.08";"5.46";"5.47";"0.29";"0.06";"-13.98";"";"2";"0.0";"0.0";"-1.0";"-1.4";"0.0";"0.0";"13.98";"0.0";"-1.0";"-1.0";"0.0";"6.99";"0.0";"4.5";"4.5";"0.0"
"Strategy 1.3.102(1)";"";"0.17";"AUDUSD_H1";"H1";"-765.68";"";"92";"0.25";"-3.21";"-0.56";"-38.28";"-0.93";"70.23";"765.68";"0.33";"-1.0";"-0.67";"10.99";"14.76";"42.96";"25.09";"29.55";"7.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.13.113";"";"0.2";"AUDUSD_H1";"H1";"-6031.96";"";"821";"0.06";"-11.14";"-0.92";"-301.6";"-0.94";"99.89";"6031.96";"0.02";"-1.0";"0.0";"31.35";"7.97";"10.77";"5.22";"5.31";"1.67";"0.06";"-3.35";"";"1";"0.0";"0.0";"-1.0";"-0.33";"0.0";"0.0";"3.35";"0.0";"-1.0";"-1.0";"0.0";"3.35";"0.0";"8.0";"8.0";"0.0"
"Strategy 1.13.112";"";"0.2";"AUDUSD_H1";"H1";"-4673.73";"";"646";"0.07";"-9.99";"-0.88";"-233.69";"-0.97";"4.42";"4751.62";"0.05";"-0.98";"0.0";"11.62";"8.22";"34.69";"20.45";"21.16";"30.85";"0.06";"-10.45";"";"2";"0.0";"-41.96";"-1.0";"-1.04";"-0.39";"45.14";"10.45";"0.0";"-1.0";"-1.0";"0.0";"5.22";"0.0";"20.5";"20.5";"0.0"
"Strategy 1.15.194";"";"0.2";"AUDUSD_H1";"H1";"-2623.06";"";"338";"0.23";"-4.17";"-0.73";"-131.15";"-0.94";"90.44";"2811.15";"0.05";"-0.93";"0.0";"46.73";"10.65";"20.29";"9.31";"9.86";"6.46";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.15.197";"";"0.2";"AUDUSD_H1";"H1";"-3541.32";"";"482";"0.05";"-10.24";"-0.88";"-177.07";"-0.96";"93.86";"3541.32";"0.08";"-1.0";"0.0";"5.51";"8.32";"13.76";"15.93";"15.78";"14.1";"0.06";"-7.19";"";"1";"0.0";"0.0";"-1.0";"-0.72";"0.0";"0.0";"7.19";"0.0";"-1.0";"-1.0";"0.0";"7.19";"0.0";"7.0";"7.0";"0.0"
"Strategy 1.13.115";"";"0.2";"AUDUSD_H1";"H1";"-3374.11";"";"451";"0.08";"-9.02";"-0.88";"-168.71";"-0.95";"91.87";"3374.11";"0.04";"-1.0";"0.0";"17.89";"8.48";"17.71";"12.9";"13.08";"9.11";"0.06";"-10.43";"";"2";"0.0";"0.0";"-1.0";"-1.04";"0.0";"0.0";"10.43";"0.0";"-1.0";"-1.0";"0.0";"5.22";"0.0";"9.0";"9.0";"0.0"
"Strategy 1.13.114";"";"0.2";"AUDUSD_H1";"H1";"-5416.49";"";"731";"0.03";"-11.74";"-0.96";"-270.82";"-0.97";"80.8";"5416.49";"0.02";"-1.0";"0.0";"12.19";"7.74";"29.08";"18.09";"18.27";"29.48";"0.06";"-3.17";"";"1";"0.0";"0.0";"-1.0";"-0.32";"0.0";"0.0";"3.17";"0.0";"-1.0";"-1.0";"0.0";"3.17";"0.0";"37.0";"37.0";"0.0"
"Strategy 1.15.196";"";"0.2";"AUDUSD_H1";"H1";"-3004.31";"";"422";"0.11";"-8.37";"-0.81";"-150.22";"-0.98";"69.09";"3042.99";"0.09";"-0.99";"0.0";"10.83";"8.79";"5.69";"5.2";"5.25";"0.0";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.13.117";"";"0.2";"AUDUSD_H1";"H1";"-3408.74";"";"452";"0.05";"-9.75";"-0.91";"-170.44";"-0.96";"93.33";"3408.74";"0.05";"-1.0";"0.0";"8.72";"8.33";"18.05";"19.65";"19.58";"18.51";"0.06";"-3.25";"";"1";"0.0";"0.0";"-1.0";"-0.32";"0.0";"0.0";"3.25";"0.0";"-1.0";"-1.0";"0.0";"3.25";"0.0";"33.0";"33.0";"0.0"
"Strategy 1.21.102";"";"0.2";"AUDUSD_H1";"H1";"-3256.64";"";"421";"0.03";"-11.32";"-0.94";"-162.83";"-0.91";"97.04";"3264.09";"0.04";"-1.0";"0.0";"5.52";"8.26";"29.38";"23.88";"24.09";"28.01";"0.06";"-3.2";"";"1";"0.0";"0.0";"-1.0";"-0.32";"0.0";"0.0";"3.2";"0.0";"-1.0";"-1.0";"0.0";"3.2";"0.0";"34.0";"34.0";"0.0"
"Strategy 1.15.191";"";"0.2";"AUDUSD_H1";"H1";"-1422.1";"";"193";"0.0";"-6.83";"-0.94";"-71.11";"-0.85";"0.0";"1422.1";"0.05";"-1.0";"0.0";"0.61";"7.8";"5.0";"13.2";"12.77";"4.41";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.21.103";"";"0.2";"AUDUSD_H1";"H1";"-2730.43";"";"366";"0.03";"-9.81";"-0.93";"-136.52";"-0.95";"29.82";"2741.67";"0.04";"-1.0";"0.0";"5.36";"8.01";"5.67";"5.93";"5.92";"0.39";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.15.190";"";"0.2";"AUDUSD_H1";"H1";"-2759.12";"";"351";"0.14";"-6.54";"-0.82";"-137.96";"-0.93";"94.81";"2807.84";"0.05";"-0.98";"0.0";"26.67";"9.62";"29.65";"12.25";"13.09";"9.6";"0.06";"-3.43";"";"1";"0.0";"0.0";"-1.0";"-0.34";"0.0";"0.0";"3.43";"0.0";"-1.0";"-1.0";"0.0";"3.43";"0.0";"6.0";"6.0";"0.0"
"Strategy 1.13.116";"";"0.2";"AUDUSD_H1";"H1";"-2093.14";"";"275";"0.08";"-7.38";"-0.85";"-104.66";"-0.96";"0.0";"2115.96";"0.08";"-0.99";"0.0";"9.24";"9.0";"19.29";"13.26";"13.72";"5.48";"0.06";"-14.43";"";"2";"0.0";"-4582.65";"-1.0";"-1.44";"-0.44";"0.0";"14.43";"0.0";"-1.0";"-1.0";"0.0";"7.22";"0.0";"2.5";"2.5";"0.0"
"Strategy 1.21.100";"";"0.2";"AUDUSD_H1";"H1";"-3321.27";"";"458";"0.04";"-11.23";"-0.92";"-166.06";"-0.98";"37.41";"3321.27";"0.04";"-1.0";"0.0";"7.46";"7.89";"16.68";"8.49";"8.83";"3.33";"0.06";"-3.48";"";"1";"0.0";"0.0";"-1.0";"-0.35";"0.0";"0.0";"3.48";"0.0";"-1.0";"-1.0";"0.0";"3.48";"0.0";"5.0";"5.0";"0.0"
"Strategy 1.13.119";"";"0.2";"AUDUSD_H1";"H1";"-4424.96";"";"580";"0.05";"-11.29";"-0.92";"-221.25";"-0.92";"81.74";"4431.02";"0.02";"-1.0";"0.0";"19.7";"8.26";"10.46";"11.81";"11.78";"9.7";"0.06";"-14.29";"";"2";"0.0";"0.0";"-1.0";"-1.43";"0.0";"99.58";"14.29";"0.0";"-1.0";"-1.0";"0.0";"7.14";"0.0";"6.0";"6.0";"0.0"
"Strategy 1.15.193";"";"0.2";"AUDUSD_H1";"H1";"-3946.46";"";"514";"0.07";"-9.69";"-0.91";"-197.32";"-0.91";"82.29";"3993.6";"0.03";"-0.99";"0.0";"22.71";"8.47";"23.92";"14.12";"14.37";"16.45";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.13.118";"";"0.2";"AUDUSD_H1";"H1";"-1466.09";"";"204";"0.1";"-5.48";"-0.79";"-73.3";"-0.94";"0.0";"1466.09";"0.15";"-1.0";"0.0";"6.09";"9.13";"18.27";"18.5";"18.47";"8.23";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.15.192";"";"0.2";"AUDUSD_H1";"H1";"-6534.49";"";"904";"0.05";"-12.66";"-0.92";"-326.72";"-0.95";"44.56";"6556.35";"0.04";"-1.0";"0.0";"9.95";"7.84";"9.13";"7.14";"7.21";"5.09";"0.06";"-21.39";"";"3";"0.0";"-47.77";"-1.0";"-2.14";"-0.39";"0.0";"21.39";"0.0";"-1.0";"-1.0";"0.0";"7.13";"0.0";"2.33";"2.33";"0.0"
