ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
7,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2
14,1,11,1682909220000,1682928900000,5.0,-264.0,-10.0,true,250.0,395.49,49380.3,false,false,false,13249.25,13224.25,true,false,4.0,3
50,1,11,1683734400000,1683791160000,5.0,849.7,-10.0,true,1035.12,863.71,50230.0,false,false,false,13305.879,13392.25,true,false,4.0,4
61,1,11,1683792000000,1683806400000,5.0,-265.3,-10.0,true,377.3,217.4,49964.7,false,false,false,13379.359,13354.229,true,false,4.0,2
68,1,11,1683849600000,1683900060000,5.0,-264.17,-10.0,true,250.18999,387.8,49700.523,false,false,false,13394.269,13369.25,true,false,4.0,4
94,1,11,1684244520000,1684341540000,5.0,848.5,-10.0,true,318.71,862.5,50549.023,false,false,false,13428.5,13514.75,true,false,4.0,8
113,1,11,1684387020000,1684418760000,5.0,848.5,-10.0,true,176.70999,862.5,51397.523,false,false,false,13587.75,13674.0,true,false,4.0,3
122,1,11,1684425600000,1684447620000,5.0,847.92,-10.0,true,688.5,861.91003,52245.45,false,false,false,13771.559,13857.75,true,false,4.0,2
129,1,11,1684454400000,1684476120000,5.0,-263.6,-10.0,true,249.59,125.9,51981.85,false,false,false,13875.209,13850.25,true,false,4.0,2
142,1,11,1684800000000,1684825020000,5.0,-263.37,-10.0,true,249.37,338.62,51718.477,false,false,false,13888.937,13864.0,true,false,4.0,2
155,1,11,1685016180000,1685037600000,5.0,848.5,-10.0,true,829.31,862.5,52566.977,false,false,false,13888.75,13975.0,true,false,4.0,2
165,1,11,1685102400000,1685113200000,5.0,2340.9,-10.0,true,518.10004,2403.48,54907.875,false,false,false,13990.259,14225.75,true,false,4.0,1
170,1,11,1685116800000,1685311200000,5.0,1309.1,-10.0,true,72.0,1323.1,56216.977,false,false,false,14247.989,14380.299,true,false,4.0,3
179,1,11,1685318400000,1685332920000,5.0,-264.48,-10.0,true,304.78,283.5,55952.5,false,false,false,14377.547,14352.5,true,false,4.0,2
189,1,11,1685430540000,1685440080000,5.0,848.5,-10.0,true,206.01,862.5,56801.0,false,false,false,14377.0,14463.25,true,false,4.0,2
196,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,56067.7,false,false,false,14491.327,14419.397,true,false,4.0,2
221,1,11,1685696160000,1685709000000,5.0,-264.0,-10.0,true,250.0,380.99,55803.7,false,false,false,14491.0,14466.0,true,false,4.0,2
228,1,11,1685971860000,1685980800000,5.0,848.5,-10.0,true,68.41,1011.99,56652.2,false,false,false,14556.5,14642.75,true,false,4.0,2
256,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,56388.2,false,false,false,14639.0,14614.0,true,false,4.0,2
263,1,11,1686585600000,1686600000000,5.0,1350.92,-10.0,true,195.58,1382.92,57739.125,false,false,false,14655.657,14792.149,true,false,4.0,2
270,1,11,1686614400000,1686659400000,5.0,848.5,-10.0,true,88.2,862.51,58587.625,false,false,false,14806.249,14892.5,true,false,4.0,4
281,1,11,1686686400000,1686749460000,5.0,-263.27,-10.0,true,249.27,514.6,58324.35,false,false,false,14900.927,14876.0,true,false,4.0,5
294,1,11,1686787200000,1686805380000,5.0,-264.17,-10.0,true,483.0,48.0,58060.176,false,false,false,15018.019,14993.0,true,false,4.0,2
301,1,11,1686859200000,1686874020000,5.0,-264.7,-10.0,true,260.7,67.8,57795.477,false,false,false,15189.319,15164.25,true,false,4.0,2
341,1,11,1688371500000,1688385600000,5.0,-421.6,-10.0,true,424.71002,130.69,57373.875,false,false,false,15216.0,15175.239,true,false,4.0,2
366,1,11,1688751000000,1688751000000,5.0,-31.5,-10.0,true,37.809998,0.89,57342.375,false,false,false,15216.0,15214.25,true,false,4.0,0
371,1,11,1689165000000,1689183000000,5.0,848.5,-10.0,true,146.21,1488.99,58190.875,false,false,false,15216.0,15302.25,true,false,4.0,2
378,1,11,1689192000000,1689236580000,5.0,848.5,-10.0,true,89.6,862.51,59039.375,false,false,false,15311.999,15398.25,true,false,4.0,4
