"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.18.140_EXIT110";"APROBADO";"0.61";"MNQ";"M15";"38773.58";"";"320";"1.69";"2.09";"0.39";"38.77";"0.86";"3.09";"4211.2";"0.79";"9.21";"5.31";"673.4";"313.83";"23.1";"6.91";"14.04";"0.07";"0.55";"17458.93";"";"74";"1.93";"2.56";"0.5";"34.92";"0.8";"0.0";"3340.6";"0.85";"5.23";"5.8";"1067.26";"470.69";"12.68";"7.55";"9.91";"0.15"
"Strategy 1.18.140_BASE";"APROBADO";"0.67";"MNQ";"M15";"36702.0";"";"320";"1.89";"2.2";"0.56";"36.7";"0.9";"0.0";"2671.04";"0.58";"13.74";"8.19";"666.0";"203.05";"26.08";"5.01";"12.71";"0.07";"0.69";"20066.85";"";"74";"3.14";"3.25";"1.33";"40.13";"0.79";"0.0";"1320.16";"0.61";"15.2";"15.61";"1050.87";"203.42";"13.82";"6.0";"8.96";"0.15"
"Strategy 1.18.140_EXIT90";"APROBADO";"0.6";"MNQ";"M15";"38084.95";"";"320";"1.69";"2.08";"0.38";"38.08";"0.86";"1.35";"4211.2";"0.81";"9.04";"5.23";"653.68";"312.94";"22.73";"6.93";"13.99";"0.07";"0.55";"17128.93";"";"74";"1.91";"2.52";"0.49";"34.26";"0.79";"0.0";"3505.6";"0.85";"4.89";"5.67";"1057.55";"470.69";"12.24";"7.55";"9.7";"0.15"
